0;matmul;0;[318, 10, 6];[6, 10]
0;matmul;1;[1, 20];[20, 10]
0;matmul;2;[1, 20];[20, 10]
0;matmul;3;[1, 20];[20, 10]
0;matmul;4;[1, 20];[20, 10]
0;matmul;5;[1, 20];[20, 10]
0;matmul;6;[1, 20];[20, 10]
0;matmul;7;[1, 20];[20, 10]
0;matmul;8;[1, 20];[20, 10]
0;matmul;9;[1, 20];[20, 10]
0;matmul;10;[1, 20];[20, 10]
0;matmul;11;[1, 20];[20, 10]
0;matmul;12;[1, 20];[20, 10]
0;matmul;13;[1, 20];[20, 10]
0;matmul;14;[1, 20];[20, 10]
0;matmul;15;[1, 20];[20, 10]
0;matmul;16;[1, 20];[20, 10]
0;matmul;17;[1, 20];[20, 10]
0;matmul;18;[1, 20];[20, 10]
0;matmul;19;[1, 20];[20, 10]
0;matmul;20;[1, 20];[20, 10]
0;matmul;21;[1, 20];[20, 10]
0;matmul;22;[1, 20];[20, 10]
0;matmul;23;[1, 20];[20, 10]
0;matmul;24;[1, 20];[20, 10]
0;matmul;25;[1, 20];[20, 10]
0;matmul;26;[1, 20];[20, 10]
0;matmul;27;[1, 20];[20, 10]
0;matmul;28;[1, 20];[20, 10]
0;matmul;29;[1, 20];[20, 10]
0;matmul;30;[1, 20];[20, 10]
0;matmul;31;[1, 20];[20, 10]
0;matmul;32;[1, 20];[20, 10]
0;matmul;33;[1, 20];[20, 10]
0;matmul;34;[1, 20];[20, 10]
0;matmul;35;[1, 20];[20, 10]
0;matmul;36;[1, 20];[20, 10]
0;matmul;37;[1, 20];[20, 10]
0;matmul;38;[1, 20];[20, 10]
0;matmul;39;[1, 20];[20, 10]
0;matmul;40;[1, 20];[20, 10]
0;matmul;41;[1, 20];[20, 10]
0;matmul;42;[1, 20];[20, 10]
0;matmul;43;[1, 20];[20, 10]
0;matmul;44;[1, 20];[20, 10]
0;matmul;45;[1, 20];[20, 10]
0;matmul;46;[1, 20];[20, 10]
0;matmul;47;[1, 20];[20, 10]
0;matmul;48;[1, 20];[20, 10]
0;matmul;49;[1, 20];[20, 10]
0;matmul;50;[1, 20];[20, 10]
0;matmul;51;[1, 20];[20, 10]
0;matmul;52;[1, 20];[20, 10]
0;matmul;53;[1, 20];[20, 10]
0;matmul;54;[1, 20];[20, 10]
0;matmul;55;[1, 20];[20, 10]
0;matmul;56;[1, 20];[20, 10]
0;matmul;57;[1, 20];[20, 10]
0;matmul;58;[1, 20];[20, 10]
